,passport,itempass,passportpass
0,"['1971', '2012', '2039', '172in', '17106b', 'gry', '170cm', '339']","[1, 1, 0, 0, 0, 1, 0, 0]",['fail']
1,"['1977', '2011', '2027', '161cm', '#a97842', 'grn', '910468396', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
2,"['1941', '2012', '2029', '186cm', '#cfa07d', 'gry', '108935675', '257']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
3,"['1973', None, '2035', '165in', '#cfa07d', 'xry', '82570731', '74']","[1, 0, 0, 0, 1, 0, 0, 0]",['fail']
4,"['1966', '2012', '2020', '151cm', '#ceb3a1', 'grn', '947726115', '105']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
5,"['1966', '2012', '2027', '155cm', '#888785', 'hzl', '853607760', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
6,"['1952', '2019', '2033', '61cm', 'z', '#7d39d5', '#1468e6', None]","[1, 1, 0, 0, 0, 0, 0, 0]",['fail']
7,"['2008', '2024', '2032', '151in', 'z', 'brn', '2306523501', '266']","[0, 0, 0, 0, 0, 1, 0, 0]",['fail']
8,"['1923', '2019', '2025', '191cm', '#a97842', 'gry', '574171850', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
9,"['2003', '1987', '2013', '140', 'z', '#19177c', '150cm', '242']","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
10,"['1959', None, '2028', '169cm', '#7d3b0c', 'gry', '584790749', '107']","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
11,"['1955', '2020', '2029', '188cm', '#a97842', 'oth', '740105085', '309']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
12,"['1974', '2016', '2026', '151cm', '#cfa07d', 'grn', '394185014', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
13,"['1956', '2014', '2029', '188cm', '#efcc98', 'blu', '226566060', '272']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
14,"['2025', '2022', '2006', '169', '#7d3b0c', '#8fa327', '#7c7a9d', None]","[0, 0, 0, 0, 1, 0, 0, 0]",['fail']
15,"['2015', '1975', '1928', '188in', '7bbcce', 'xry', '8939875193', None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
16,"['1997', '2019', '2029', '193cm', '#cfa07d', 'hzl', '141707808', '83']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
17,"['1985', '2019', '2022', '165cm', '#6b5442', 'brn', '681586971', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
18,"['1970', '2016', '2024', '156in', '#efcc98', 'grt', '#e32394', None]","[1, 1, 1, 0, 1, 0, 0, 0]",['fail']
19,"['1935', '2013', '2027', '185cm', '#18171d', 'grn', '341584587', '113']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
20,"['1968', '2010', '2024', '98', '#fffffd', 'grn', '738986504', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
21,"['1960', '2018', '2025', '173cm', '#733820', 'oth', '175337478', '283']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
22,"['1959', '2017', '2023', '176cm', '#341e13', 'grn', '566612260', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
23,"['1945', '2017', '2029', '161cm', '#733820', 'brn', '355095309', '321']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
24,"['1996', '2013', '1928', '152cm', '#c0946f', 'lzr', '75316487', '201']","[1, 1, 0, 1, 1, 0, 0, 0]",['fail']
25,"[None, '2010', '2024', '160cm', '#a018b9', 'amb', None, '347']","[0, 1, 1, 1, 1, 1, 0, 0]",['fail']
26,"['1988', '2016', '2021', '166cm', '#866857', 'hzl', '893047101', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
27,"['1999', '2019', '2024', '178cm', '#7d3b0c', 'blu', '085336099', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
28,"['2010', '2022', None, '192cm', 'z', 'grt', None, None]","[0, 0, 0, 1, 0, 0, 0, 0]",['fail']
29,"['1957', '2020', '2025', '163cm', '#cfa07d', 'grn', '677187953', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
30,"['1987', '2013', '2022', '157cm', '#7d3b0c', 'blu', '113078018', '213']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
31,"['1992', '2010', '2028', '186cm', '#c0946f', 'blu', None, None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
32,"['2014', None, '1922', '67', '790130', '#35dca0', '#b01156', None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
33,"['1974', '2010', '2030', '173cm', '#602927', 'blu', '116377061', '294']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
34,"['1987', '2011', '2022', '151cm', '#733820', 'blu', '#b90d2e', None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
35,"['1990', '2026', '2029', '154cm', '#602927', 'gry', '530373696', '188']","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
36,"['1965', '2014', '2027', '178cm', '#733820', 'grn', '575371227', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
37,"['1961', '2020', None, '185cm', '#fffffd', 'amb', '692760311', None]","[1, 1, 0, 1, 1, 1, 1, 0]",['fail']
38,"['1967', '2015', '2035', '177cm', '#cfa07d', 'lzr', '397518948', '328']","[1, 1, 0, 1, 1, 0, 1, 0]",['fail']
39,"['1928', '2010', '2029', '176cm', '#8e1608', 'brn', '554618249', '220']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
40,"['1992', '2010', '2030', '66in', '#602927', 'oth', '915661465', '177']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
41,"['1936', '2012', '2021', '151cm', '#fffffd', 'brn', '558826437', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
42,"['1953', '2019', '2033', '190cm', '#6b5442', 'hzl', '584941735', None]","[1, 1, 0, 1, 1, 1, 1, 0]",['fail']
43,"['2015', '2025', '2039', '71cm', 'z', '#663b65', '62548949', None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
44,"['1943', '2020', '2021', '175cm', '#7d3b0c', 'hzl', '830628564', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
45,"['1951', '2014', '2021', '182cm', '#18171d', 'blu', '635966127', '175']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
46,"['1985', '2011', '2022', '192cm', '#733820', 'grn', '581100835', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
47,"['1981', '2013', '2029', '185cm', '#a97842', 'grn', '711625030', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
48,"['1995', '2015', '2028', None, '#733820', 'hzl', '326992839', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
49,"['2029', '2028', '2037', '160', 'z', '#6b6b83', '7692333345', '123']","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
50,"['2028', '2030', '2039', '165cm', '#6b5442', '#21516d', '182cm', None]","[0, 0, 0, 1, 1, 0, 0, 0]",['fail']
51,"['1934', '2018', '2028', '159cm', '#602927', 'amb', '610521467', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
52,"['1971', '2020', '2025', '162cm', '#09d9a5', 'blu', '406714780', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
53,"['2002', '2015', '2022', '179cm', '#18171d', 'blu', '314891131', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
54,"['1990', '2011', '2027', '181cm', '#623a2f', 'grn', '442693333', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
55,"['1984', '2022', '1939', '60cm', '#18171d', '#d6ac04', '557187110', None]","[1, 0, 0, 0, 1, 0, 1, 0]",['fail']
56,"['1948', '2018', '2023', '174cm', '#866857', 'grn', '438876745', '321']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
57,"[None, '2012', '2030', '189cm', '#602927', 'brn', '978388052', None]","[0, 1, 1, 1, 1, 1, 1, 0]",['fail']
58,"['1938', '2013', '2029', '171cm', '#ceb3a1', 'amb', '315825546', '235']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
59,"['2010', None, '2001', '76cm', 'z', 'dne', None, '185']","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
60,"['1988', '2010', '2021', '66in', '#733820', 'oth', '558453117', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
61,"['1926', '2016', '2023', '159cm', '#efcc98', 'oth', '796557821', '155']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
62,"['2023', '2017', '2031', '132', '0ba99a', '#9b89b1', '14902250', None]","[0, 1, 0, 0, 0, 0, 0, 0]",['fail']
63,"['1926', '2016', '2029', '159cm', '#a97842', 'blu', None, '205']","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
64,"['1939', None, '2026', '174cm', '#866857', 'brn', '025607627', '309']","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
65,"['1991', '2014', None, '190cm', '#cfa07d', 'hzl', '805133506', '350']","[1, 1, 0, 1, 1, 1, 1, 0]",['fail']
66,"['1941', '2013', '2024', '155cm', '#602927', 'amb', '531781358', '164']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
67,"['1969', None, '2029', '164cm', '#72a068', 'brn', '621006770', None]","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
68,"['1991', '2020', '2029', '62in', '#623a2f', 'grn', '9921729009', None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
69,"['1937', '2017', '2020', '157cm', '#866857', 'hzl', '768217275', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
70,"['1993', '2010', '2021', '174cm', '#733820', 'hzl', '722650020', '270']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
71,"['1929', '2010', '2022', '154cm', '#c0946f', 'blu', '357023679', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
72,"['1979', '2013', '2023', '165cm', '#733820', 'hzl', '008734536', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
73,"['1993', '2014', '2030', '193cm', '#341e13', 'blu', '536339538', '346']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
74,"['1977', '2010', '2030', '179cm', '#efcc98', 'hzl', '660062554', '296']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
75,"['1950', '2015', '2029', '159cm', '#18171d', 'gmt', '498520651', '119']","[1, 1, 1, 1, 1, 0, 1, 0]",['fail']
76,"['1952', '2010', '2025', '181cm', '#efcc98', 'oth', '196372989', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
77,"['1927', '2018', '2026', '184cm', '#733820', 'blu', '549730813', '317']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
78,"['1920', '2017', '2021', '180cm', '#cfa07d', 'blu', '591769824', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
79,"['1955', '2015', '2029', '183cm', '#623a2f', 'blu', '988946348', '117']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
80,"[None, '2014', '2026', '184cm', '#7d3b0c', 'oth', '252101860', None]","[0, 1, 1, 1, 1, 1, 1, 0]",['fail']
81,"['1995', '2012', '2028', '182cm', '#6b5442', 'brn', '482757872', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
82,"['1951', '2017', '2021', '157cm', '#623a2f', 'gry', '487895819', '333']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
83,"['1927', '2014', '2025', '193cm', '#fffffd', 'oth', '989206297', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
84,"['1953', '2013', '2030', '193cm', '#18171d', 'brn', '862636088', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
85,"['1923', '2015', '2023', '181cm', '#fffffd', 'gry', '204286737', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
86,"['1943', '2012', '2020', '171cm', '#623a2f', 'gry', '413935643', '288']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
87,"['2023', '2029', '2009', '183cm', '#c0946f', 'oth', '182634296', '306']","[0, 0, 0, 1, 1, 1, 1, 0]",['fail']
88,"['2003', '2027', '2026', '188cm', '#fffffd', 'hzl', '734296691', None]","[0, 0, 1, 1, 1, 1, 1, 0]",['fail']
89,"['1944', '2017', '2020', '74in', '#18171d', 'gry', '401957684', '141']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
90,"['1925', '2020', '2022', '170in', 'z', 'grn', '335097003', None]","[1, 1, 1, 0, 0, 1, 1, 0]",['fail']
91,"['1995', '2012', '2024', '173cm', '#18171d', 'blu', '727198487', '323']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
92,"['1995', '2020', '2028', '76in', '#602927', 'amb', '460274414', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
93,"['2002', '2016', '2023', '172cm', '#fffffd', 'oth', '101164770', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
94,"['1959', '2016', '2025', '186cm', '#888785', 'blu', '031162631', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
95,"['1970', '2020', '2025', '188cm', '#6b5442', 'blu', '093242619', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
96,"['1990', '2011', '2025', '62in', '#602927', 'grn', '907309460', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
97,"['1977', '2010', '2021', '169cm', '#b6652a', 'oth', '346468647', '233']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
98,"['1944', '2011', '2028', '187cm', '#b6652a', 'gry', '904834317', '281']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
99,"['1953', '2015', '1988', '156in', '#fa2e93', 'gry', '663941602', None]","[1, 1, 0, 0, 1, 1, 1, 0]",['fail']
100,"['1998', '2017', '2023', '184cm', None, 'gry', '094829817', '107']","[1, 1, 1, 1, 0, 1, 1, 0]",['fail']
101,"['1955', None, '2020', None, '#a97842', 'gry', '553841536', None]","[1, 0, 1, 0, 1, 1, 1, 0]",['fail']
102,"['1934', '2016', '2022', '185cm', '#341e13', 'oth', '863541754', '178']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
103,"['1937', '2014', '2029', '177cm', '#fffffd', 'blu', '076753558', '232']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
104,"['1972', '2017', '2028', '168cm', '#cfa07d', 'grn', '664159349', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
105,"['1987', '2018', '2020', '182cm', '#a97842', 'brn', '560272731', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
106,"['1926', '2014', None, '172cm', '#ceb3a1', 'blu', '291640184', '125']","[1, 1, 0, 1, 1, 1, 1, 0]",['fail']
107,"['2018', '2027', '1927', '84', 'z', '#b68fec', '809408661', '87']","[0, 0, 0, 0, 0, 0, 1, 0]",['fail']
108,"['1957', '2015', '2025', '161cm', '#4b8216', 'brn', '951007276', '260']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
109,"['1965', '2013', '2022', '169cm', '#6b5442', 'brn', '359973697', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
110,"['2000', '2012', '2024', '65in', '#341e13', 'amb', '842371195', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
111,"['1950', '2021', '2037', '170cm', '#18171d', 'hzl', '389051819', '289']","[1, 0, 0, 1, 1, 1, 1, 0]",['fail']
112,"['1921', '2011', '2020', '159cm', '#c0946f', 'amb', '010539976', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
113,"['1982', '2015', '2024', '176cm', '#866857', 'amb', '838338992', '270']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
114,"['1987', '2010', '2022', '185cm', '#fffffd', 'blu', '042361456', '246']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
115,"['1969', '2010', '2030', '164cm', '#c0946f', 'brn', '881486702', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
116,"['1922', '2019', '2025', '167cm', '#6b5442', 'amb', '343956182', '207']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
117,"['1964', '2012', '2024', '158cm', '#602927', 'oth', None, None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
118,"['1988', '2012', '2020', '154cm', '#3edc53', 'gry', '030965463', '227']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
119,"['1945', None, '2030', '178cm', '#c0946f', 'amb', None, None]","[1, 0, 1, 1, 1, 1, 0, 0]",['fail']
120,"['1928', '2016', '2027', '158cm', '#733820', 'gry', '270264980', '259']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
121,"['2026', '2024', '2033', '164in', 'z', 'xry', '2517730699', '235']","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
122,"['1987', '2018', '2035', '69cm', '#fffffd', 'grn', '1321222581', None]","[1, 1, 0, 0, 1, 1, 0, 0]",['fail']
123,"['1923', '2013', '2028', '74in', '#733820', 'gry', '794178180', '244']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
124,"['1934', '2018', '2027', '185cm', '#a97842', 'hzl', '401882857', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
125,"['1990', '2018', '2026', '154cm', '#623a2f', 'hzl', '665564950', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
126,"['1967', None, '2021', '163cm', '#602927', 'amb', '332861702', '189']","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
127,"['1929', '2018', '2020', '184cm', '#a97842', 'grn', '734161280', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
128,"['1925', '2018', '2022', '193cm', '#341e13', 'hzl', '008582320', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
129,"['2025', '2025', '2034', '167cm', 'z', 'dne', '48963526', None]","[0, 0, 0, 1, 0, 0, 0, 0]",['fail']
130,"['1936', '2020', '2029', '186cm', '#cfa07d', 'hzl', '328573727', '194']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
131,"['1958', '2011', '2027', '188cm', '#6b5442', 'gry', '338435675', '326']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
132,"['2027', '1996', '2034', '70', 'z', '#75606f', '165cm', '210']","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
133,"['2026', '2016', '1995', '180in', '#a0515a', None, '#97a753', None]","[0, 1, 0, 0, 1, 0, 0, 0]",['fail']
134,"['1978', '2012', '2020', '68in', '#18171d', 'amb', '332495922', '346']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
